Channel,Vehicle,age_min,age_max,gender,concat,a,b,c
케이블,overall,7,12,M,케이블overallM712,-4.802088432,0.951074331,0.94
케이블,overall,13,18,M,케이블overallM1318,-4.802088432,0.951074331,0.94
케이블,overall,19,24,M,케이블overallM1924,-4.883751924,0.927408195,0.98
케이블,overall,25,29,M,케이블overallM2529,-4.848250849,0.930782102,0.96
케이블,overall,30,34,M,케이블overallM3034,-4.848250849,0.930782102,0.96
케이블,overall,35,39,M,케이블overallM3539,-4.846093213,0.942982814,0.93
케이블,overall,40,44,M,케이블overallM4044,-4.853442231,0.961825081,0.91
케이블,overall,45,49,M,케이블overallM4549,-4.927475183,0.981907138,0.89
케이블,overall,55,59,M,케이블overallM5559,-4.986471561,1.006608792,0.91
케이블,overall,65,69,M,케이블overallM6569,-4.941941482,0.967748497,0.92
케이블,overall,7,12,F,케이블overallF712,-4.802088432,0.951074331,0.94
케이블,overall,13,18,F,케이블overallF1318,-4.802088432,0.951074331,0.94
케이블,overall,19,24,F,케이블overallF1924,-4.883751924,0.927408195,0.98
케이블,overall,25,29,F,케이블overallF2529,-4.848250849,0.930782102,0.96
케이블,overall,30,34,F,케이블overallF3034,-4.848250849,0.930782102,0.96
케이블,overall,35,39,F,케이블overallF3539,-4.846093213,0.942982814,0.93
케이블,overall,40,44,F,케이블overallF4044,-4.853442231,0.961825081,0.91
케이블,overall,45,49,F,케이블overallF4549,-4.927475183,0.981907138,0.89
케이블,overall,55,59,F,케이블overallF5559,-4.986471561,1.006608792,0.91
케이블,overall,65,69,F,케이블overallF6569,-4.941941482,0.967748497,0.92
케이블,overall,50,54,M,케이블overallM5054,-4.986471561,1.006608792,0.91
케이블,overall,60,64,M,케이블overallM6064,-4.941941482,0.967748497,0.92
케이블,overall,50,54,F,케이블overallF5054,-4.986471561,1.006608792,0.91
케이블,overall,60,64,F,케이블overallF6064,-4.941941482,0.967748497,0.92
지상파,overall,7,12,M,지상파overallM712,-4.939019919,0.941080996,0.93
지상파,overall,13,18,M,지상파overallM1318,-4.939019919,0.941080996,0.93
지상파,overall,19,24,M,지상파overallM1924,-4.902483984,0.946276326,0.92
지상파,overall,25,29,M,지상파overallM2529,-4.911243555,0.948578411,0.92
지상파,overall,30,34,M,지상파overallM3034,-4.911243555,0.948578411,0.92
지상파,overall,35,39,M,지상파overallM3539,-4.937085299,0.961823663,0.92
지상파,overall,40,44,M,지상파overallM4044,-4.979013496,0.976865267,0.92
지상파,overall,45,49,M,지상파overallM4549,-5.034143865,0.995724897,0.95
지상파,overall,55,59,M,지상파overallM5559,-5.122725946,1.002802025,0.98
지상파,overall,65,69,M,지상파overallM6569,-5.12912474,1.00349182,0.94
지상파,overall,7,12,F,지상파overallF712,-4.939019919,0.941080996,0.93
지상파,overall,13,18,F,지상파overallF1318,-4.939019919,0.941080996,0.93
지상파,overall,19,24,F,지상파overallF1924,-4.902483984,0.946276326,0.92
지상파,overall,25,29,F,지상파overallF2529,-4.911243555,0.948578411,0.92
지상파,overall,30,34,F,지상파overallF3034,-4.911243555,0.948578411,0.92
지상파,overall,35,39,F,지상파overallF3539,-4.937085299,0.961823663,0.92
지상파,overall,40,44,F,지상파overallF4044,-4.979013496,0.976865267,0.92
지상파,overall,45,49,F,지상파overallF4549,-5.034143865,0.995724897,0.95
지상파,overall,55,59,F,지상파overallF5559,-5.122725946,1.002802025,0.98
지상파,overall,65,69,F,지상파overallF6569,-5.12912474,1.00349182,0.94
지상파,overall,50,54,M,지상파overallM5054,-5.122725946,1.002802025,0.98
지상파,overall,60,64,M,지상파overallM6064,-5.12912474,1.00349182,0.94
지상파,overall,50,54,F,지상파overallF5054,-5.122725946,1.002802025,0.98
지상파,overall,60,64,F,지상파overallF6064,-5.12912474,1.00349182,0.94
종편,overall,7,12,M,종편overallM712,-4.802386768,0.949309839,0.9
종편,overall,13,18,M,종편overallM1318,-4.802386768,0.949309839,0.9
종편,overall,19,24,M,종편overallM1924,-4.806190498,0.949071746,0.91
종편,overall,25,29,M,종편overallM2529,-4.805831255,0.951235351,0.91
종편,overall,30,34,M,종편overallM3034,-4.805831255,0.951235351,0.91
종편,overall,35,39,M,종편overallM3539,-4.813058673,0.957582005,0.91
종편,overall,40,44,M,종편overallM4044,-4.829215185,0.963306252,0.91
종편,overall,45,49,M,종편overallM4549,-4.847324719,0.972163165,0.91
종편,overall,55,59,M,종편overallM5559,-4.868153199,0.984915642,0.91
종편,overall,65,69,M,종편overallM6569,-4.881517919,0.985099108,0.9
종편,overall,7,12,F,종편overallF712,-4.802386768,0.949309839,0.9
종편,overall,13,18,F,종편overallF1318,-4.802386768,0.949309839,0.9
종편,overall,19,24,F,종편overallF1924,-4.806190498,0.949071746,0.91
종편,overall,25,29,F,종편overallF2529,-4.805831255,0.951235351,0.91
종편,overall,30,34,F,종편overallF3034,-4.805831255,0.951235351,0.91
종편,overall,35,39,F,종편overallF3539,-4.813058673,0.957582005,0.91
종편,overall,40,44,F,종편overallF4044,-4.829215185,0.963306252,0.91
종편,overall,45,49,F,종편overallF4549,-4.847324719,0.972163165,0.91
종편,overall,55,59,F,종편overallF5559,-4.868153199,0.984915642,0.91
종편,overall,65,69,F,종편overallF6569,-4.881517919,0.985099108,0.9
종편,overall,50,54,M,종편overallM5054,-4.868153199,0.984915642,0.91
종편,overall,60,64,M,종편overallM6064,-4.881517919,0.985099108,0.9
종편,overall,50,54,F,종편overallF5054,-4.868153199,0.984915642,0.91
종편,overall,60,64,F,종편overallF6064,-4.881517919,0.985099108,0.9
Digital,overall,7,12,M,DigitaloverallM712,-4.485990025,0.898516671,0.976
Digital,overall,13,18,M,DigitaloverallM1318,-4.485990025,0.898516671,0.976
Digital,overall,19,24,M,DigitaloverallM1924,-4.446794045,0.902405777,0.944
Digital,overall,25,29,M,DigitaloverallM2529,-4.424073088,0.901861677,0.952
Digital,overall,30,34,M,DigitaloverallM3034,-4.424073088,0.901861677,0.952
Digital,overall,35,39,M,DigitaloverallM3539,-4.307250804,0.863878802,0.952
Digital,overall,40,44,M,DigitaloverallM4044,-4.41929942,0.895470742,0.984
Digital,overall,45,49,M,DigitaloverallM4549,-4.270426657,0.864335354,0.92
Digital,overall,55,59,M,DigitaloverallM5559,-4.433407625,0.900962171,0.96
